event_timestamp,event_date,order_id,client_id
2020-05-22 17:16:00.785172,2020-05-22,0033205,17267165
2020-05-23 11:55:01.396425,2020-05-23,7062286,6959864
2020-05-23 18:08:00.615296,2020-05-23,3043766,443260
2020-05-24 11:30:00.694313,2020-05-24,3043766,16639295
2020-05-24 16:42:01.309617,2020-05-24,3741112,565198
2020-05-25 09:20:00.960228,2020-05-25,2920337,15680196
2020-05-25 16:11:00.577814,2020-05-25,8048374,6214677
2020-05-26 10:35:00.973928,2020-05-26,8596461,14675302
2020-05-26 17:27:00.376737,2020-05-26,9215911,11402721
2020-05-27 11:45:00.985064,2020-05-27,8406804,15676484
2020-05-27 18:05:00.514132,2020-05-27,5129491,15485873
2020-05-28 19:05:00.562946,2020-05-28,8598024,9251510
2020-05-29 19:13:00.377587,2020-05-29,0704622,16320505
2020-05-30 13:55:01.660906,2020-05-30,6429472,15295087
2020-05-30 21:12:00.289002,2020-05-30,2794833,17749859
2020-05-31 11:40:00.923059,2020-05-31,0907537,25986649
2020-05-31 16:56:00.611171,2020-05-31,3237386,14878806
2020-06-01 04:09:00.212429,2020-06-01,0449324,16386979
2020-06-01 13:39:00.750864,2020-06-01,0461345,17429654
2020-06-01 18:52:00.254629,2020-06-01,2094326,1341108
2020-06-02 10:36:00.720175,2020-06-02,2094326,4180831
2020-06-02 17:11:01.377381,2020-06-02,2907872,15658066
2020-06-03 08:59:00.499711,2020-06-03,8033391,24730212
2020-06-03 15:20:00.768387,2020-06-03,7984687,16515152
2020-06-04 13:55:00.697534,2020-06-04,7336085,13965082
2020-06-05 15:06:00.901766,2020-06-05,7199651,12756755
2020-06-06 10:25:00.493694,2020-06-06,3360355,16743239
2020-06-06 16:04:02.190921,2020-06-06,2685968,16743239
2020-06-07 09:28:00.398171,2020-06-07,7628291,16743239
2020-06-07 13:38:00.742567,2020-06-07,8685568,16743239
2020-06-07 18:38:00.479430,2020-06-07,0790546,16743239
2020-06-08 11:42:00.822582,2020-06-08,8163128,16743239
2020-06-08 16:17:00.389670,2020-06-08,2882688,16743239
2020-06-09 10:06:00.464611,2020-06-09,5444779,15425186
2020-06-09 15:37:00.531269,2020-06-09,2930933,15472943
2020-06-09 22:23:00.792591,2020-06-09,1707882,3285929
2020-06-10 13:53:00.467712,2020-06-10,5680163,1122819
2020-06-10 20:32:00.456819,2020-06-10,8989885,20189122
2020-06-11 18:47:00.376212,2020-06-11,1377843,4174415
2020-06-12 21:03:00.481172,2020-06-12,7494905,9935299
2020-06-13 13:26:01.785201,2020-06-13,7494905,9935299
2020-06-13 18:03:00.536032,2020-06-13,7494905,9935299
2020-06-14 05:04:00.254612,2020-06-14,3792704,16760808
2020-06-14 12:56:00.580126,2020-06-14,9501503,753204
2020-06-14 16:51:01.689229,2020-06-14,0974093,2179822
2020-06-15 04:24:00.634620,2020-06-15,6468415,4486779
2020-06-15 12:18:00.182499,2020-06-15,9663685,5090808
2020-06-15 18:29:00.197043,2020-06-15,2072601,17046451
2020-06-16 11:12:00.799475,2020-06-16,1227146,29424312
2020-06-16 16:20:00.803101,2020-06-16,1227146,14305428
2020-06-17 09:35:00.592064,2020-06-17,9476722,15323941
2020-06-17 16:24:00.533627,2020-06-17,9476722,1143484
2020-06-18 12:02:00.559798,2020-06-18,1997968,1269467
2020-06-19 13:09:01.239963,2020-06-19,5483001,4774999
2020-06-20 10:16:00.735437,2020-06-20,3754179,15715076
2020-06-20 15:35:00.573703,2020-06-20,3754179,5061183
2020-06-21 07:53:00.569665,2020-06-21,4513613,17673371
2020-06-21 13:30:00.734505,2020-06-21,6694824,898145
2020-06-21 18:37:00.260881,2020-06-21,5787637,15798190
2020-06-22 11:11:00.148785,2020-06-22,0408416,6518545
2020-06-22 15:41:00.350286,2020-06-22,6701786,15131146
2020-06-23 09:36:00.166505,2020-06-23,0120294,17749859
2020-06-23 15:48:00.251120,2020-06-23,5966806,16858530
2020-06-24 09:11:00.909437,2020-06-24,5966806,1497611
2020-06-24 16:33:00.209090,2020-06-24,3769789,14782576
2020-06-25 15:21:00.373552,2020-06-25,2404983,767113
2020-06-27 08:59:00.385937,2020-06-27,4214008,15199084
2020-06-27 15:55:00.473117,2020-06-27,2419669,15680196
2020-06-28 00:01:01.303606,2020-06-28,1110435,12771418
2020-06-28 13:01:00.303607,2020-06-28,4817694,17178720
2020-06-28 19:54:00.309665,2020-06-28,3966746,5964406
2020-06-29 11:56:00.399292,2020-06-29,5603445,13272623
2020-06-29 18:33:00.366334,2020-06-29,7198982,8428017
2020-06-30 13:06:00.642827,2020-06-30,1237984,16150548
2020-06-30 21:13:00.467196,2020-06-30,7980161,943224
2020-07-01 14:03:01.487686,2020-07-01,7937725,15266353
2020-07-02 12:21:00.305578,2020-07-02,5855945,17533690
2020-07-03 15:33:00.481147,2020-07-03,5855945,7932106
2020-07-04 14:38:00.453577,2020-07-04,5855945,17267165
2020-07-05 11:10:00.837540,2020-07-05,5855945,17388770
2020-07-05 17:07:00.552163,2020-07-05,6349632,2179822
2020-07-06 10:51:00.905610,2020-07-06,5743978,2179822
2020-07-06 16:48:00.643205,2020-07-06,1799407,2179822
2020-07-07 11:47:00.353259,2020-07-07,9403136,2179822
2020-07-07 19:00:00.278843,2020-07-07,7123402,2179822
2020-07-08 13:58:01.097704,2020-07-08,4583812,2179822
2020-07-09 10:12:00.173071,2020-07-09,3023616,9506726
2020-07-10 17:50:00.320450,2020-07-10,3023616,16774640
2020-07-11 14:39:00.218042,2020-07-11,9047735,10365710
2020-07-12 11:47:00.177647,2020-07-12,4783033,14087198
2020-07-12 20:11:00.277524,2020-07-12,9044696,3471037
2020-07-13 12:44:00.278089,2020-07-13,3476047,7176105
2020-07-13 19:32:00.338613,2020-07-13,6035849,7393481
2020-07-14 15:33:00.384230,2020-07-14,3661563,14705333
2020-07-15 08:40:00.329543,2020-07-15,6749223,16676162
2020-07-15 20:23:00.202668,2020-07-15,3748261,3829930
2020-07-17 14:43:00.295816,2020-07-17,8583069,9636430
2020-07-18 15:40:00.274260,2020-07-18,4881753,5413253
2020-07-19 14:34:00.221376,2020-07-19,2044046,6661526
2019-10-05 17:31:00.624199,2019-10-05,8400266,14675302
2019-10-27 19:11:01.683367,2019-10-27,3314971,9328286
2020-03-12 13:19:00.628219,2020-03-12,1236462,6301750
2020-03-26 18:18:00.061726,2020-03-26,5944066,7172828
2020-04-02 12:20:00.720694,2020-04-02,4088072,14909165
2020-04-05 17:18:00.428631,2020-04-05,9230115,4484954
2020-04-10 11:11:02.007829,2020-04-10,2862162,6026468
2020-04-15 17:06:00.230874,2020-04-15,2817534,15131146
2020-04-23 18:11:00.221243,2020-04-23,1506911,3733750
2020-05-03 10:20:00.326777,2020-05-03,3969154,3527
2020-05-09 15:10:01.355807,2020-05-09,3736387,16608488
2020-05-17 10:00:01.370589,2020-05-17,9445636,15199084
2020-05-25 22:01:02.259755,2020-05-25,7798765,5251157
2020-06-05 09:00:00.707288,2020-06-05,8100447,24790596
2020-06-18 21:50:01.212524,2020-06-18,8100447,17429654
2019-07-02 16:17:00.168801,2019-07-02,3888404,2076108
2019-07-09 20:29:00.350158,2019-07-09,5912172,16844227
2019-07-20 00:25:00.285338,2019-07-20,5118094,15680196
2019-07-29 17:15:00.119851,2019-07-29,5979739,17247865
2019-08-05 19:37:00.264061,2019-08-05,7379288,7414162
2019-08-13 12:36:00.114485,2019-08-13,6318246,6661526
2019-08-20 17:14:00.153022,2019-08-20,6784338,6661526
2019-08-27 15:26:00.212311,2019-08-27,0950563,6661526
2019-09-04 19:17:00.306861,2019-09-04,6550458,6661526
2019-09-13 16:31:00.905751,2019-09-13,5647802,6661526
2019-09-21 21:01:01.819403,2019-09-21,2071489,6661526
2019-09-29 08:04:00.194012,2019-09-29,4086344,15151802
2019-10-07 15:05:00.235083,2019-10-07,2785912,15810924
2019-10-16 23:22:00.220533,2019-10-16,6694509,15688163
2019-10-24 14:41:00.792269,2019-10-24,1508409,8976658
2020-02-26 20:11:01.346735,2020-02-26,5377422,15034868
2020-03-02 18:05:00.484246,2020-03-02,8524969,16336022
2020-03-08 09:10:00.211141,2020-03-08,7964874,15728625
2020-03-14 16:25:00.253861,2020-03-14,5487614,17388770
2020-03-21 13:24:00.486961,2020-03-21,7453733,14611919
2020-03-28 16:30:00.772862,2020-03-28,4700831,17449983
2020-04-07 14:39:00.201190,2020-04-07,7756989,16765197
2020-04-11 18:51:02.233796,2020-04-11,9663024,4884474
2020-04-14 17:11:00.601015,2020-04-14,0992723,702971
2020-04-17 23:08:00.302521,2020-04-17,6316658,31533296
2020-04-20 23:11:01.164050,2020-04-20,8107616,14441673
2020-04-24 07:04:00.411385,2020-04-24,4831022,15323941
2020-04-27 14:36:01.574783,2020-04-27,9814526,579461
2020-05-01 13:21:01.504455,2020-05-01,9021432,10690132
2020-05-05 14:23:00.224587,2020-05-05,1604106,17046451
2020-05-09 12:55:00.688876,2020-05-09,4472782,6218635
2020-05-14 11:32:00.506862,2020-05-14,8325291,4958233
2020-05-20 18:49:00.792657,2020-05-20,8325291,12353116
2020-05-26 01:09:00.316456,2020-05-26,8325291,12481870
2020-05-30 14:06:00.516408,2020-05-30,3975105,17093078
2020-06-05 15:48:00.591609,2020-06-05,5756893,16314342
2020-06-11 07:09:00.270239,2020-06-11,9237714,14595285
2020-06-15 18:11:00.374903,2020-06-15,3502888,17749859
